# time,atp
0.000000000000000000e+00,7.500000000000000000e-01
1.002087682672233859e-01,7.552467683709993551e-01
2.004175365344467719e-01,7.604926339777027255e-01
3.006263048016701855e-01,7.657366942111447639e-01
4.008350730688935437e-01,7.709780467729945297e-01
5.010438413361169019e-01,7.762157898308055248e-01
6.012526096033403711e-01,7.814490221731865693e-01
7.014613778705637293e-01,7.866768433648644310e-01
8.016701461377870874e-01,7.918983539016142270e-01
9.018789144050104456e-01,7.971126553650285107e-01
1.002087682672233804e+00,8.023188505771006174e-01
1.102296450939457273e+00,8.075160437545934045e-01
1.202505219206680742e+00,8.127033406631690715e-01
1.302713987473903989e+00,8.178798487712521936e-01
1.402922755741127459e+00,8.230446774035986568e-01
1.503131524008350706e+00,8.281969378945475135e-01
1.603340292275574175e+00,8.333357437409245616e-01
1.703549060542797644e+00,8.384602107545756633e-01
1.803757828810020891e+00,8.435694572145003844e-01
1.903966597077244360e+00,8.486626040185628606e-01
2.004175365344467608e+00,8.537387748347496919e-01
2.104384133611691077e+00,8.587970962519537732e-01
2.204592901878914546e+00,8.638366979302535276e-01
2.304801670146138015e+00,8.688567127506644505e-01
2.405010438413361484e+00,8.738562769643368755e-01
2.505219206680584509e+00,8.788345303411733145e-01
2.605427974947807979e+00,8.837906163178407271e-01
2.705636743215031448e+00,8.887236821451509616e-01
2.805845511482254917e+00,8.936328790347867201e-01
2.906054279749478386e+00,8.985173623053437364e-01
3.006263048016701411e+00,9.033762915276686289e-01
3.106471816283924881e+00,9.082088306694635627e-01
3.206680584551148350e+00,9.130141482391345154e-01
3.306889352818371819e+00,9.177914174288586135e-01
3.407098121085595288e+00,9.225398162568463345e-01
3.507306889352818313e+00,9.272585277087715960e-01
3.607515657620041782e+00,9.319467398783480849e-01
3.707724425887265252e+00,9.366036461070276209e-01
3.807933194154488721e+00,9.412284451227935778e-01
3.908141962421712190e+00,9.458203411780290448e-01
4.008350730688935215e+00,9.503785441864341932e-01
4.108559498956158684e+00,9.549022698589686442e-01
4.208768267223382153e+00,9.593907398387978569e-01
4.308977035490605623e+00,9.638431818352173330e-01
4.409185803757829092e+00,9.682588297565342117e-01
4.509394572025052561e+00,9.726369238418811625e-01
4.609603340292276030e+00,9.769767107919427040e-01
